Al,"23/02/2024"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"105560","KB FINANCIAL GROUP INC","Finanziari","Azionario","44.842.424,40","0,23","44.842.424,40","907.105,00","49,43","Corea","Korea Exchange (Stock Market)","KRW"
"2308","DELTA ELECTRONICS INC","IT","Azionario","42.936.626,20","0,22","42.936.626,20","4.634.073,00","9,27","Taiwan","Taiwan Stock Exchange","TWD"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Salute","Azionario","42.802.341,62","0,22","42.802.341,62","2.274.110,00","18,82","India","National Stock Exchange Of India","INR"
"AMXB","AMERICA MOVIL B","Comunicazione","Azionario","42.682.007,05","0,22","42.682.007,05","44.227.746,00","0,97","Messico","Bolsa Mexicana De Valores","MXN"
"NTPC","NTPC LTD","Imprese di servizi di pubblica utilità","Azionario","42.352.685,49","0,22","42.352.685,49","10.401.644,00","4,07","India","National Stock Exchange Of India","INR"
"YUMC","YUM CHINA HOLDINGS INC","Consumi Discrezionali","Azionario","41.622.797,28","0,21","41.622.797,28","987.258,00","42,16","Cina","New York Stock Exchange Inc.","USD"
"EAND","EMIRATES TELECOM","Comunicazione","Azionario","41.355.320,39","0,21","41.355.320,39","8.228.387,00","5,03","Emirati Arabi Uniti","Abu Dhabi Securities Exchange","AED"
"051910","LG CHEM LTD","Materiali","Azionario","41.067.421,96","0,21","41.067.421,96","115.811,00","354,61","Corea","Korea Exchange (Stock Market)","KRW"
"600519","KWEICHOW MOUTAI LTD A","Generi di largo consumo","Azionario","41.045.882,52","0,21","41.045.882,52","172.586,00","237,83","Cina","Shanghai Stock Exchange","CNY"
"2303","UNITED MICRO ELECTRONICS CORP","IT","Azionario","40.546.726,22","0,21","40.546.726,22","26.584.000,00","1,53","Taiwan","Taiwan Stock Exchange","TWD"
"2010","SAUDI BASIC INDUSTRIES","Materiali","Azionario","40.320.036,02","0,21","40.320.036,02","1.911.761,00","21,09","Arabia Saudita","Saudi Stock Exchange","SAR"
"857","PETROCHINA LTD H","Energia","Azionario","39.790.251,01","0,20","39.790.251,01","49.734.000,00","0,80","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"FAB","FIRST ABU DHABI BANK","Finanziari","Azionario","39.520.360,31","0,20","39.520.360,31","10.518.573,00","3,76","Emirati Arabi Uniti","Abu Dhabi Securities Exchange","AED"
"FSR","FIRSTRAND LTD","Finanziari","Azionario","39.284.876,58","0,20","39.284.876,58","11.507.518,00","3,41","Sud Africa","Johannesburg Stock Exchange","ZAR"
"BMRI","BANK MANDIRI (PERSERO)","Finanziari","Azionario","38.717.698,55","0,20","38.717.698,55","85.643.000,00","0,45","Indonesia","Indonesia Stock Exchange","IDR"
"2891","CTBC FINANCIAL HOLDING LTD","Finanziari","Azionario","38.291.725,53","0,20","38.291.725,53","41.828.079,00","0,92","Taiwan","Taiwan Stock Exchange","TWD"
"2881","FUBON FINANCIAL HOLDING LTD","Finanziari","Azionario","38.000.193,37","0,19","38.000.193,37","18.012.434,00","2,11","Taiwan","Taiwan Stock Exchange","TWD"
"006400","SAMSUNG SDI LTD","IT","Azionario","37.757.220,62","0,19","37.757.220,62","129.361,00","291,87","Corea","Korea Exchange (Stock Market)","KRW"
"TITAN","TITAN COMPANY LTD","Consumi Discrezionali","Azionario","37.564.244,88","0,19","37.564.244,88","843.986,00","44,51","India","National Stock Exchange Of India","INR"
