Al,"23/02/2024"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"2362","CLEVO","IT","Azionario","2.026.893,47","0,01","2.026.893,47","1.540.000,00","1,32","Taiwan","Taiwan Stock Exchange","TWD"
"282330","BGF RETAIL LTD","Generi di largo consumo","Azionario","2.023.623,91","0,01","2.023.623,91","20.298,00","99,70","Corea","Korea Exchange (Stock Market)","KRW"
"SUMICHEM","SUMITOMO CHEMICAL INDIA LTD","Materiali","Azionario","2.022.905,18","0,01","2.022.905,18","436.184,00","4,64","India","National Stock Exchange Of India","INR"
"ODPV3","ODONTOPREV SA","Salute","Azionario","2.019.798,39","0,01","2.019.798,39","787.390,00","2,57","Brasile","XBSP","BRL"
"600845","SHANGHAI BAOSIGHT SOFTWARE LTD A","IT","Azionario","2.017.657,88","0,01","2.017.657,88","338.732,00","5,96","Cina","Shanghai Stock Exchange","CNY"
"AP.R","AP THAILAND NON-VOTING DR PCL","Immobili","Azionario","2.018.647,10","0,01","2.018.647,10","6.687.000,00","0,30","Tailandia","Stock Exchange Of Thailand","THB"
"3042","TXC CORP","IT","Azionario","2.014.634,61","0,01","2.014.634,61","636.000,00","3,17","Taiwan","Taiwan Stock Exchange","TWD"
"EIHOTEL","EIH LTD","Consumi Discrezionali","Azionario","2.012.156,77","0,01","2.012.156,77","409.742,00","4,91","India","National Stock Exchange Of India","INR"
"000120","CJ LOGISTICS CORP","Industriali","Azionario","2.013.395,74","0,01","2.013.395,74","20.888,00","96,39","Corea","Korea Exchange (Stock Market)","KRW"
"8996","KAORI HEAT TREATMENT LTD","Industriali","Azionario","2.009.883,11","0,01","2.009.883,11","235.000,00","8,55","Taiwan","Taiwan Stock Exchange","TWD"
"IGTI11","IGUATEMI UNIT SA","Immobili","Azionario","2.011.500,48","0,01","2.011.500,48","428.025,00","4,70","Brasile","XBSP","BRL"
"NTC","NETCARE LTD","Salute","Azionario","2.008.181,56","0,01","2.008.181,56","2.782.874,00","0,72","Sud Africa","Johannesburg Stock Exchange","ZAR"
"000776","GF SECURITIES LTD A","Finanziari","Azionario","2.006.202,67","0,01","2.006.202,67","1.019.690,00","1,97","Cina","Shenzhen Stock Exchange","CNY"
"INDIAMART","INDIAMART INTERMESH LTD","Industriali","Azionario","2.007.124,74","0,01","2.007.124,74","62.334,00","32,20","India","National Stock Exchange Of India","INR"
"PPLPHARMA","PIRAMAL PHARMA LTD","Salute","Azionario","2.004.348,23","0,01","2.004.348,23","1.218.027,00","1,65","India","National Stock Exchange Of India","INR"
"6005","CAPITAL SECURITIES CORP","Finanziari","Azionario","2.003.289,95","0,01","2.003.289,95","3.844.490,00","0,52","Taiwan","Taiwan Stock Exchange","TWD"
"1052","YUEXIU TRANSPORT INFRASTRUCTURE LT","Industriali","Azionario","1.998.568,58","0,01","1.998.568,58","3.554.000,00","0,56","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"RLO","REUNERT LTD","Industriali","Azionario","1.999.683,11","0,01","1.999.683,11","583.455,00","3,43","Sud Africa","Johannesburg Stock Exchange","ZAR"
"MTH","MOTUS HOLD LTD SHS","Consumi Discrezionali","Azionario","1.995.989,04","0,01","1.995.989,04","399.980,00","4,99","Sud Africa","Johannesburg Stock Exchange","ZAR"
"600011","HUANENG POWER INTERNATIONAL INC A","Imprese di servizi di pubblica utilità","Azionario","1.992.097,86","0,01","1.992.097,86","1.598.836,00","1,25","Cina","Shanghai Stock Exchange","CNY"
"HEKTS.E","HEKTAS TICARET A","Materiali","Azionario","1.991.749,67","0,01","1.991.749,67","3.042.804,00","0,65","Turchia","Istanbul Stock Exchange","TRY"
"SCIENTX","SCIENTEX","Materiali","Azionario","1.987.063,53","0,01","1.987.063,53","2.446.700,00","0,81","Malesia","Bursa Malaysia","MYR"
"NH","NARAYANA HRUDAYALAYA LTD","Salute","Azionario","1.985.236,50","0,01","1.985.236,50","119.041,00","16,68","India","National Stock Exchange Of India","INR"
"USHAMART","USHA MARTIN LTD","Materiali","Azionario","1.982.421,55","0,01","1.982.421,55","493.153,00","4,02","India","National Stock Exchange Of India","INR"
"8230","AL RAJHI COMPANY FOR COOPERATIVE I","Finanziari","Azionario","1.982.896,15","0,01","1.982.896,15","100.498,00","19,73","Arabia Saudita","Saudi Stock Exchange","SAR"
"EAST","EASTERN CO.","Generi di largo consumo","Azionario","1.983.082,76","0,01","1.983.082,76","1.789.117,00","1,11","Egitto","Egyptian Exchange","EGP"
"5388","SERCOMM CORP","IT","Azionario","1.983.207,55","0,01","1.983.207,55","448.802,00","4,42","Taiwan","Taiwan Stock Exchange","TWD"
"4015","JAMJOOM PHARMA","Salute","Azionario","1.981.347,66","0,01","1.981.347,66","50.142,00","39,51","Arabia Saudita","Saudi Stock Exchange","SAR"
"1503","SHIHLIN ELECTRIC AND ENGINEERING C","Industriali","Azionario","1.978.713,29","0,01","1.978.713,29","359.000,00","5,51","Taiwan","Taiwan Stock Exchange","TWD"
"2386","SINOPEC ENGINEERING GROUP LTD H H","Industriali","Azionario","1.978.728,08","0,01","1.978.728,08","3.651.500,00","0,54","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"145720","DENTIUM LTD","Salute","Azionario","1.973.102,06","0,01","1.973.102,06","21.795,00","90,53","Corea","Korea Exchange (Stock Market)","KRW"
"3324","AURAS TECHNOLOGY LTD","IT","Azionario","1.970.920,84","0,01","1.970.920,84","136.000,00","14,49","Taiwan","Gretai Securities Market","TWD"
"KANSAINER","KANSAI NEROLAC PAINTS LTD","Materiali","Azionario","1.971.258,46","0,01","1.971.258,46","541.533,00","3,64","India","National Stock Exchange Of India","INR"
"3665","BIZLINK HOLDING INC","Industriali","Azionario","1.968.447,53","0,01","1.968.447,53","254.680,00","7,73","Taiwan","Taiwan Stock Exchange","TWD"
"NAM.INDIA","NIPPON LIFE INDIA ASSET MANAGMNT L","Finanziari","Azionario","1.969.740,49","0,01","1.969.740,49","324.090,00","6,08","India","National Stock Exchange Of India","INR"
"6472","BORA PHARMACEUTICALS LTD","Salute","Azionario","1.966.873,45","0,01","1.966.873,45","96.118,00","20,46","Taiwan","Taiwan Stock Exchange","TWD"
"032640","LG UPLUS CORP","Comunicazione","Azionario","1.968.078,57","0,01","1.968.078,57","252.371,00","7,80","Corea","Korea Exchange (Stock Market)","KRW"
"6855","ASCENTAGE PHARMA GROUP INTERNATION","Salute","Azionario","1.964.546,80","0,01","1.964.546,80","602.800,00","3,26","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"631","SANY HEAVY EQUIPMENT INTERNATIONAL","Industriali","Azionario","1.964.714,57","0,01","1.964.714,57","2.789.966,00","0,70","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"AJMANBANK","AJMAN BANK","Finanziari","Azionario","1.962.806,31","0,01","1.962.806,31","3.855.235,00","0,51","Emirati Arabi Uniti","Dubai Financial Market","AED"
"CPFE3","CPFL ENERGIA SA","Imprese di servizi di pubblica utilità","Azionario","1.963.284,51","0,01","1.963.284,51","273.190,00","7,19","Brasile","XBSP","BRL"
"248070","SOLUM LTD","IT","Azionario","1.960.867,32","0,01","1.960.867,32","91.419,00","21,45","Corea","Korea Exchange (Stock Market)","KRW"
"042660","HANWHA OCEAN LTD","Industriali","Azionario","1.960.938,88","0,01","1.960.938,88","119.183,00","16,45","Corea","Korea Exchange (Stock Market)","KRW"
"VTL","VARDHMAN TEXTILES LTD","Consumi Discrezionali","Azionario","1.962.455,45","0,01","1.962.455,45","374.306,00","5,24","India","National Stock Exchange Of India","INR"
"SUNREIT","SUNWAY REITS UNITS TRUST","Immobili","Azionario","1.958.630,46","0,01","1.958.630,46","5.960.100,00","0,33","Malesia","Bursa Malaysia","MYR"
"601628","CHINA LIFE INSURANCE LTD A","Finanziari","Azionario","1.959.380,96","0,01","1.959.380,96","447.599,00","4,38","Cina","Shanghai Stock Exchange","CNY"
"002465","GUANGZHOU HAIGE COMMUNICATIONS GRO","IT","Azionario","1.955.309,33","0,01","1.955.309,33","1.298.839,00","1,51","Cina","Shenzhen Stock Exchange","CNY"
"1208","MMG LTD","Materiali","Azionario","1.953.356,17","0,01","1.953.356,17","7.348.000,00","0,27","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"MDIA3","M DIAS BRANCO INDUSTRIA SA","Generi di largo consumo","Azionario","1.953.413,14","0,01","1.953.413,14","242.894,00","8,04","Brasile","XBSP","BRL"
"853","MICROPORT SCIENTIFIC CORP","Salute","Azionario","1.946.045,45","0,01","1.946.045,45","1.908.100,00","1,02","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"CENTEL.R","CENTRAL PLAZA HOTEL NON-VOTING DR","Consumi Discrezionali","Azionario","1.943.412,03","0,01","1.943.412,03","1.651.100,00","1,18","Tailandia","Stock Exchange Of Thailand","THB"
"2363","SILICON INTEGRATED SYSTEM CORP","IT","Azionario","1.940.970,57","0,01","1.940.970,57","1.435.000,00","1,35","Taiwan","Taiwan Stock Exchange","TWD"
"UNIP6","UNIPAR CARBOCLORO SA PREF B","Materiali","Azionario","1.939.648,69","0,01","1.939.648,69","145.129,00","13,36","Brasile","XBSP","BRL"
"TANLA","TANLA PLATFORMS LTD","IT","Azionario","1.940.737,05","0,01","1.940.737,05","161.331,00","12,03","India","National Stock Exchange Of India","INR"
"601916","CHINA ZHESHANG BANK LTD A","Finanziari","Azionario","1.940.890,90","0,01","1.940.890,90","4.960.456,00","0,39","Cina","Shanghai Stock Exchange","CNY"
"3040","QASSIM CEMENT","Materiali","Azionario","1.937.279,99","0,01","1.937.279,99","123.778,00","15,65","Arabia Saudita","Saudi Stock Exchange","SAR"
"600795","GD POWER DEVELOPMENT LTD A","Imprese di servizi di pubblica utilità","Azionario","1.935.317,91","0,01","1.935.317,91","2.905.900,00","0,67","Cina","Shanghai Stock Exchange","CNY"
"4915","PRIMAX ELECTRONICS LTD","IT","Azionario","1.933.327,00","0,01","1.933.327,00","843.000,00","2,29","Taiwan","Taiwan Stock Exchange","TWD"
"AMATA.R","AMATA CORPORATION NON-VOTING DR PC","Immobili","Azionario","1.930.541,09","0,01","1.930.541,09","3.125.875,00","0,62","Tailandia","Stock Exchange Of Thailand","THB"
"192820","COSMAX INC","Generi di largo consumo","Azionario","1.927.490,63","0,01","1.927.490,63","22.948,00","83,99","Corea","Korea Exchange (Stock Market)","KRW"
"052690","KEPCO ENGINEERING & CONSTRUCTION I","Industriali","Azionario","1.923.452,91","0,01","1.923.452,91","35.460,00","54,24","Corea","Korea Exchange (Stock Market)","KRW"
"603993","CHINA MOLYBDENUM LTD A","Materiali","Azionario","1.925.281,06","0,01","1.925.281,06","2.185.194,00","0,88","Cina","Shanghai Stock Exchange","CNY"
"220","UNI-PRESIDENT LTD","Generi di largo consumo","Azionario","1.922.268,80","0,01","1.922.268,80","3.140.000,00","0,61","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"CHAMBLFERT","CHAMBAL FERTILISERS AND CHEMICALS","Materiali","Azionario","1.920.010,92","0,01","1.920.010,92","433.256,00","4,43","India","National Stock Exchange Of India","INR"
"600893","AECC AVIATION POWER LTD A","Industriali","Azionario","1.919.309,80","0,01","1.919.309,80","410.595,00","4,67","Cina","Shanghai Stock Exchange","CNY"
"APLLTD","ALEMBIC PHARMACEUTICALS LTD","Salute","Azionario","1.914.758,51","0,01","1.914.758,51","151.504,00","12,64","India","National Stock Exchange Of India","INR"
"012510","DOUZONBIZON LTD","IT","Azionario","1.912.965,85","0,01","1.912.965,85","49.538,00","38,62","Corea","Korea Exchange (Stock Market)","KRW"
"600674","SICHUAN CHUANTOU ENERGY LTD A","Imprese di servizi di pubblica utilità","Azionario","1.910.810,28","0,01","1.910.810,28","858.584,00","2,23","Cina","Shanghai Stock Exchange","CNY"
"000880","HANWHA CORP","Industriali","Azionario","1.908.233,50","0,01","1.908.233,50","86.393,00","22,09","Corea","Korea Exchange (Stock Market)","KRW"
"WHIRL","WHIRLPOOL OF INDIA LTD","Consumi Discrezionali","Azionario","1.909.405,18","0,01","1.909.405,18","123.966,00","15,40","India","National Stock Exchange Of India","INR"
"KRDMD.E","KARDEMIR KARABUK DEMIR CELIK SANAY","Materiali","Azionario","1.909.535,05","0,01","1.909.535,05","2.068.896,00","0,92","Turchia","Istanbul Stock Exchange","TRY"
"1904","CHENG LOONG CORP","Materiali","Azionario","1.903.772,69","0,01","1.903.772,69","2.076.000,00","0,92","Taiwan","Taiwan Stock Exchange","TWD"
"IEX","INDIAN ENERGY EXCHANGE LTDINARY","Finanziari","Azionario","1.902.940,25","0,01","1.902.940,25","1.073.802,00","1,77","India","National Stock Exchange Of India","INR"
"4220","EMAAR THE ECONOMIC CITY","Immobili","Azionario","1.900.170,05","0,01","1.900.170,05","871.221,00","2,18","Arabia Saudita","Saudi Stock Exchange","SAR"
"COCHINSHIP","COCHIN SHIPYARD LTD","Industriali","Azionario","1.901.438,20","0,01","1.901.438,20","183.678,00","10,35","India","National Stock Exchange Of India","INR"
"TIDLOR.R","NGERN TID LOR SHS NON-VOTING DR PC","Finanziari","Azionario","1.890.791,94","0,01","1.890.791,94","2.981.300,00","0,63","Tailandia","Stock Exchange Of Thailand","THB"
"EKGYO.E","EMLAK KONUT GAYRIMENKUL YATIRIM OR","Immobili","Azionario","1.889.674,48","0,01","1.889.674,48","5.048.908,00","0,37","Turchia","Istanbul Stock Exchange","TRY"
"SECB","SECURITY BANK CORP","Finanziari","Azionario","1.889.851,99","0,01","1.889.851,99","1.479.590,00","1,28","Filippine","Philippine Stock Exchange Inc.","PHP"
"TRAXIONA","TRAXION SAB DE CV","Industriali","Azionario","1.886.732,59","0,01","1.886.732,59","1.008.631,00","1,87","Messico","Bolsa Mexicana De Valores","MXN"
"AFFLE","AFFLE INDIA LTD","Comunicazione","Azionario","1.885.715,37","0,01","1.885.715,37","137.615,00","13,70","India","National Stock Exchange Of India","INR"
"3189","KINSUS INTERCONNECT TECHNOLOGY COR","IT","Azionario","1.880.921,16","0,01","1.880.921,16","601.000,00","3,13","Taiwan","Taiwan Stock Exchange","TWD"
"9917","TAIWAN SECOM LTD","Industriali","Azionario","1.879.892,06","0,01","1.879.892,06","505.075,00","3,72","Taiwan","Taiwan Stock Exchange","TWD"
"5371","CORETRONIC CORP","IT","Azionario","1.872.727,04","0,01","1.872.727,04","823.400,00","2,27","Taiwan","Gretai Securities Market","TWD"
"CPS","CYFROWY POLSAT SA","Comunicazione","Azionario","1.872.805,44","0,01","1.872.805,44","640.064,00","2,93","Polonia","Warsaw Stock Exchange/Equities/Main Market","PLN"
"6182","WAFER WORKS CORP","IT","Azionario","1.870.056,64","0,01","1.870.056,64","1.439.898,00","1,30","Taiwan","Gretai Securities Market","TWD"
"ACI","ARCHEAN CHEMICAL INDUSTRIES LTD (P","Materiali","Azionario","1.866.148,55","0,01","1.866.148,55","195.958,00","9,52","India","National Stock Exchange Of India","INR"
"300832","SHENZHEN NEW INDUSTRIES BIOMEDICAL","Salute","Azionario","1.861.534,71","0,01","1.861.534,71","181.060,00","10,28","Cina","Shenzhen Stock Exchange","CNY"
"FSL","FIRSTSOURCE SOLUTIONS LTD","Industriali","Azionario","1.862.334,15","0,01","1.862.334,15","766.463,00","2,43","India","National Stock Exchange Of India","INR"
"000538","YUNNAN BAIYAO GROUP LTD A","Salute","Azionario","1.855.318,11","0,01","1.855.318,11","268.995,00","6,90","Cina","Shenzhen Stock Exchange","CNY"
"DMC","DMCI HOLDINGS INC","Industriali","Azionario","1.855.486,37","0,01","1.855.486,37","9.550.800,00","0,19","Filippine","Philippine Stock Exchange Inc.","PHP"
"1579","YIHAI INTERNATIONAL HOLDING LTD","Generi di largo consumo","Azionario","1.853.296,34","0,01","1.853.296,34","1.311.115,00","1,41","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"JSMR","JASA MARGA","Industriali","Azionario","1.853.744,27","0,01","1.853.744,27","5.724.399,00","0,32","Indonesia","Indonesia Stock Exchange","IDR"
"1773","TIANLI INTERNATIONAL HOLDINGS LTD","Consumi Discrezionali","Azionario","1.854.456,57","0,01","1.854.456,57","3.711.000,00","0,50","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"011210","HYUNDAI WIA CORP","Consumi Discrezionali","Azionario","1.851.104,02","0,01","1.851.104,02","40.260,00","45,98","Corea","Korea Exchange (Stock Market)","KRW"
"3060","YANBU CEMENT","Materiali","Azionario","1.849.037,78","0,01","1.849.037,78","219.804,00","8,41","Arabia Saudita","Saudi Stock Exchange","SAR"
"5904","POYA LTD","Consumi Discrezionali","Azionario","1.849.612,82","0,01","1.849.612,82","118.439,00","15,62","Taiwan","Gretai Securities Market","TWD"
"LABB","GENOMMA LAB INTERNATIONAL","Salute","Azionario","1.846.948,31","0,01","1.846.948,31","2.219.835,00","0,83","Messico","Bolsa Mexicana De Valores","MXN"
"HRHO","EFG-HERMES HLDGS","Finanziari","Azionario","1.847.205,20","0,01","1.847.205,20","2.846.815,00","0,65","Egitto","Egyptian Exchange","EGP"
"ELECTCAST","ELECTROSTEEL CASTINGS LTD","Industriali","Azionario","1.845.072,91","0,01","1.845.072,91","867.132,00","2,13","India","National Stock Exchange Of India","INR"
"600585","ANHUI CONCH CEMENT LTD A","Materiali","Azionario","1.844.171,44","0,01","1.844.171,44","540.301,00","3,41","Cina","Shanghai Stock Exchange","CNY"
"086900","MEDY-TOX INC","Salute","Azionario","1.842.972,09","0,01","1.842.972,09","13.332,00","138,24","Corea","Korea Exchange (Kosdaq)","KRW"
"WARBABANK","WARBABANK","Finanziari","Azionario","1.834.685,71","0,01","1.834.685,71","3.002.834,00","0,61","Kuwait","Kuwait Stock Exchange","KWD"
"601009","BANK OF NANJING LTD A","Finanziari","Azionario","1.831.523,65","0,01","1.831.523,65","1.513.790,00","1,21","Cina","Shanghai Stock Exchange","CNY"
"8112","SUPREME ELECTRONICS LTD","IT","Azionario","1.832.776,27","0,01","1.832.776,27","916.940,00","2,00","Taiwan","Taiwan Stock Exchange","TWD"
"CARLSBG","CARLSBERG BREWERY MALAYSIA","Generi di largo consumo","Azionario","1.830.073,89","0,01","1.830.073,89","454.900,00","4,02","Malesia","Bursa Malaysia","MYR"
"1060","ALIBABA PICTURES GROUP LTD","Comunicazione","Azionario","1.830.287,31","0,01","1.830.287,31","30.470.000,00","0,06","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"TGA","THUNGELA RESOURCES LTD","Energia","Azionario","1.827.756,87","0,01","1.827.756,87","332.384,00","5,50","Sud Africa","Johannesburg Stock Exchange","ZAR"
"PLANB.R","PLAN B MEDIA PCL NON-VOTING DR","Comunicazione","Azionario","1.824.830,91","0,01","1.824.830,91","7.403.380,00","0,25","Tailandia","Stock Exchange Of Thailand","THB"
"088350","HANWHA LIFE INSURANCE LTD","Finanziari","Azionario","1.822.371,29","0,01","1.822.371,29","716.593,00","2,54","Corea","Korea Exchange (Stock Market)","KRW"
"SWDY","ELSWEDY ELECTRIC","Industriali","Azionario","1.820.013,01","0,01","1.820.013,01","1.704.194,00","1,07","Egitto","Egyptian Exchange","EGP"
"2689","NINE DRAGONS PAPER HOLDINGS LTD","Materiali","Azionario","1.816.847,30","0,01","1.816.847,30","3.982.000,00","0,46","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"1448","FU SHOU YUAN INTERNATIONAL GROUP L","Consumi Discrezionali","Azionario","1.817.414,75","0,01","1.817.414,75","2.678.000,00","0,68","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"MAVI.E","MAVI GIYIM SANAYI VE TICARET","Consumi Discrezionali","Azionario","1.807.915,13","0,01","1.807.915,13","402.423,00","4,49","Turchia","Istanbul Stock Exchange","TRY"
"012750","S-1 CORP","Industriali","Azionario","1.804.081,59","0,01","1.804.081,59","39.757,00","45,38","Corea","Korea Exchange (Stock Market)","KRW"
"001740","SK NETWORKS","Industriali","Azionario","1.805.599,43","0,01","1.805.599,43","363.592,00","4,97","Corea","Korea Exchange (Stock Market)","KRW"
"3900","GREENTOWN CHINA LTD","Immobili","Azionario","1.800.582,15","0,01","1.800.582,15","2.157.500,00","0,83","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"IBULHSGFIN","INDIABULLS HOUSING FINANCE LTD","Finanziari","Azionario","1.800.855,08","0,01","1.800.855,08","721.647,00","2,50","India","National Stock Exchange Of India","INR"
"ULKER.E","ULKER BISKUVI SANAYI A","Generi di largo consumo","Azionario","1.796.173,70","0,01","1.796.173,70","529.037,00","3,40","Turchia","Istanbul Stock Exchange","TRY"
"BEML","BEML LTD","Industriali","Azionario","1.797.239,89","0,01","1.797.239,89","49.153,00","36,56","India","National Stock Exchange Of India","INR"
"281740","LAKE MATERIALS LTD","Materiali","Azionario","1.795.246,91","0,01","1.795.246,91","109.613,00","16,38","Corea","Korea Exchange (Kosdaq)","KRW"
"BUKA","BUKALAPAK.COM","Consumi Discrezionali","Azionario","1.795.386,68","0,01","1.795.386,68","173.901.600,00","0,01","Indonesia","Indonesia Stock Exchange","IDR"
"140410","MEZZION PHARMA LTD","Salute","Azionario","1.793.192,22","0,01","1.793.192,22","64.335,00","27,87","Corea","Korea Exchange (Kosdaq)","KRW"
"1833","PING AN HEALTHCARE AND TECHNOLOGY","Generi di largo consumo","Azionario","1.790.657,69","0,01","1.790.657,69","1.106.700,00","1,62","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"1357","MEITU INC","Comunicazione","Azionario","1.791.533,54","0,01","1.791.533,54","5.721.500,00","0,31","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"103140","POONGSANORATION CORP","Materiali","Azionario","1.789.770,78","0,01","1.789.770,78","56.452,00","31,70","Corea","Korea Exchange (Stock Market)","KRW"
"WELSPUNLIV","WELSPUN LIVING LTD","Consumi Discrezionali","Azionario","1.787.878,04","0,01","1.787.878,04","920.003,00","1,94","India","National Stock Exchange Of India","INR"
"4164","AL NAHDI MEDICAL","Generi di largo consumo","Azionario","1.783.039,06","0,01","1.783.039,06","47.160,00","37,81","Arabia Saudita","Saudi Stock Exchange","SAR"
"F&N","FRASER & NEAVE HOLDINGS","Generi di largo consumo","Azionario","1.783.346,10","0,01","1.783.346,10","289.400,00","6,16","Malesia","Bursa Malaysia","MYR"
"ACE","ACTION CONSTRUCTION EQUIPMENT LTD","Industriali","Azionario","1.784.121,38","0,01","1.784.121,38","126.441,00","14,11","India","National Stock Exchange Of India","INR"
"006360","GS ENGINEERING & CONSTRUCTION CORP","Industriali","Azionario","1.778.504,47","0,01","1.778.504,47","152.041,00","11,70","Corea","Korea Exchange (Stock Market)","KRW"
"263750","PEARLABYSS CORP","Comunicazione","Azionario","1.775.696,78","0,01","1.775.696,78","71.191,00","24,94","Corea","Korea Exchange (Kosdaq)","KRW"
"GGPS3","GPS PARTICIPACOES E EMPREENDIMENTO","Industriali","Azionario","1.771.678,74","0,01","1.771.678,74","485.475,00","3,65","Brasile","XBSP","BRL"
"095340","ISC TECHNOLOGY LTD","IT","Azionario","1.769.817,36","0,01","1.769.817,36","32.138,00","55,07","Corea","Korea Exchange (Kosdaq)","KRW"
"8210","CHENBRO MICOM LTD","IT","Azionario","1.770.407,68","0,01","1.770.407,68","207.000,00","8,55","Taiwan","Taiwan Stock Exchange","TWD"
"DTC","DATATEC LTD","IT","Azionario","1.767.444,61","0,01","1.767.444,61","832.560,00","2,12","Sud Africa","Johannesburg Stock Exchange","ZAR"
"1880","CHINA TOURISM GROUP DUTY FREE CLAS","Consumi Discrezionali","Azionario","1.768.324,09","0,01","1.768.324,09","170.500,00","10,37","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"1368","XTEP INTERNATIONAL LTD","Consumi Discrezionali","Azionario","1.764.921,27","0,01","1.764.921,27","3.211.500,00","0,55","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"000999","CHINA RESOURCES SANJIU MEDICAL AND","Salute","Azionario","1.762.746,68","0,01","1.762.746,68","230.866,00","7,64","Cina","Shenzhen Stock Exchange","CNY"
"096530","SEEGENE INC","Salute","Azionario","1.763.674,77","0,01","1.763.674,77","91.522,00","19,27","Corea","Korea Exchange (Kosdaq)","KRW"
"RAINBOW","RAINBOW CHILDRENS MEDICARE LTD","Salute","Azionario","1.763.957,45","0,01","1.763.957,45","114.277,00","15,44","India","National Stock Exchange Of India","INR"
"003690","KOREAN REINSURANCE","Finanziari","Azionario","1.762.634,58","0,01","1.762.634,58","292.538,00","6,03","Corea","Korea Exchange (Stock Market)","KRW"
"601901","FOUNDER SECURITIES LTD A","Finanziari","Azionario","1.758.734,05","0,01","1.758.734,05","1.753.200,00","1,00","Cina","Shanghai Stock Exchange","CNY"
"OMN","OMNIA HOLDINGS LTD","Materiali","Azionario","1.760.233,28","0,01","1.760.233,28","535.948,00","3,28","Sud Africa","Johannesburg Stock Exchange","ZAR"
"MAPA","MAP AKTIF ADIPERKASA","Consumi Discrezionali","Azionario","1.757.059,48","0,01","1.757.059,48","25.370.800,00","0,07","Indonesia","Indonesia Stock Exchange","IDR"
"000723","SHANXI MEIJIN ENERGY LTD A","Materiali","Azionario","1.757.733,81","0,01","1.757.733,81","2.100.900,00","0,84","Cina","Shenzhen Stock Exchange","CNY"
"601699","SHANXI LUAN ENVIRONMENTAL ENERGY D","Energia","Azionario","1.752.563,45","0,01","1.752.563,45","492.443,00","3,56","Cina","Shanghai Stock Exchange","CNY"
"2273","GUSHENGTANG HOLDINGS LTD","Salute","Azionario","1.752.571,44","0,01","1.752.571,44","315.600,00","5,55","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"2666","GENERTEC UNIVERSAL MEDICAL GROUP L","Finanziari","Azionario","1.747.198,51","0,01","1.747.198,51","3.135.500,00","0,56","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"2455","VISUAL PHOTONICS EPITAXY LTD","IT","Azionario","1.746.002,72","0,01","1.746.002,72","329.072,00","5,31","Taiwan","Taiwan Stock Exchange","TWD"
"000977","INSPUR ELECTRONIC INFORMATION INDU","IT","Azionario","1.741.222,69","0,01","1.741.222,69","363.120,00","4,80","Cina","Shenzhen Stock Exchange","CNY"
"004370","NONGSHIM LTD","Generi di largo consumo","Azionario","1.739.806,92","0,01","1.739.806,92","6.310,00","275,72","Corea","Korea Exchange (Stock Market)","KRW"
"RECV3","PETRORECONCAVO SA","Energia","Azionario","1.740.617,64","0,01","1.740.617,64","371.017,00","4,69","Brasile","XBSP","BRL"
"185750","CHONG KUN DANG PHARMACEUTICAL CORP","Salute","Azionario","1.738.804,10","0,01","1.738.804,10","20.832,00","83,47","Corea","Korea Exchange (Stock Market)","KRW"
"2162","KEYMED BIOSCIENCES INC","Salute","Azionario","1.739.126,96","0,01","1.739.126,96","415.500,00","4,19","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"MTARTECH","MTAR TECHNOLOGIES LTD","Industriali","Azionario","1.733.701,21","0,01","1.733.701,21","70.752,00","24,50","India","National Stock Exchange Of India","INR"
"000596","ANHUI GUJING DISTILLERY LTD A","Generi di largo consumo","Azionario","1.733.741,14","0,01","1.733.741,14","55.694,00","31,13","Cina","Shenzhen Stock Exchange","CNY"
"009420","HANALL BIOPHARMA LTD","Salute","Azionario","1.731.544,19","0,01","1.731.544,19","62.886,00","27,53","Corea","Korea Exchange (Stock Market)","KRW"
"005420","COSMO CHEMICAL LTD","Materiali","Azionario","1.732.884,56","0,01","1.732.884,56","61.020,00","28,40","Corea","Korea Exchange (Stock Market)","KRW"
"SOMA3","GRUPO DE MODA SOMA SA","Consumi Discrezionali","Azionario","1.730.254,69","0,01","1.730.254,69","1.217.743,00","1,42","Brasile","XBSP","BRL"
