Al,23/02/2024,,,,,,,,,,
 ,,,,,,,,,,,
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
DHR,DANAHER CORP,Salute,Azionario,"199.784.264,32","0,28","199.784.264,32","787.048,00","253,84",Stati Uniti,New York Stock Exchange Inc.,USD
CMCSA,COMCAST CORP CLASS A,Comunicazione,Azionario,"196.530.734,90","0,27","196.530.734,90","4.690.471,00","41,90",Stati Uniti,NASDAQ,USD
QCOM,QUALCOMM INC,IT,Azionario,"195.581.155,77","0,27","195.581.155,77","1.262.547,00","154,91",Stati Uniti,NASDAQ,USD
VZ,VERIZON COMMUNICATIONS INC,Comunicazione,Azionario,"193.843.093,90","0,27","193.843.093,90","4.767.415,00","40,66",Stati Uniti,New York Stock Exchange Inc.,USD
IBM,INTERNATIONAL BUSINESS MACHINES CO,IT,Azionario,"188.824.866,96","0,26","188.824.866,96","1.016.718,00","185,72",Stati Uniti,New York Stock Exchange Inc.,USD
GE,GENERAL ELECTRIC,Industriali,Azionario,"187.510.016,94","0,26","187.510.016,94","1.222.918,00","153,33",Stati Uniti,New York Stock Exchange Inc.,USD
AMAT,APPLIED MATERIAL INC,IT,Azionario,"186.968.010,96","0,26","186.968.010,96","948.306,00","197,16",Stati Uniti,NASDAQ,USD
CAT,CATERPILLAR INC,Industriali,Azionario,"186.939.325,56","0,26","186.939.325,56","577.187,00","323,88",Stati Uniti,New York Stock Exchange Inc.,USD
NOW,SERVICENOW INC,IT,Azionario,"179.114.834,28","0,25","179.114.834,28","232.324,00","770,97",Stati Uniti,New York Stock Exchange Inc.,USD
PFE,PFIZER INC,Salute,Azionario,"177.736.925,52","0,25","177.736.925,52","6.402.627,00","27,76",Stati Uniti,New York Stock Exchange Inc.,USD
AMGN,AMGEN INC,Salute,Azionario,"175.897.783,52","0,24","175.897.783,52","608.264,00","289,18",Stati Uniti,NASDAQ,USD
UNP,UNION PACIFIC CORP,Industriali,Azionario,"175.284.811,71","0,24","175.284.811,71","682.281,00","256,91",Stati Uniti,New York Stock Exchange Inc.,USD
TXN,TEXAS INSTRUMENT INC,IT,Azionario,"169.263.644,50","0,23","169.263.644,50","1.034.050,00","163,69",Stati Uniti,NASDAQ,USD
BHP,BHP GROUP LTD,Materiali,Azionario,"168.186.900,52","0,23","168.186.900,52","5.754.499,00","29,23",Australia,Asx - All Markets,AUD
HSBA,HSBC HOLDINGS PLC,Finanziari,Azionario,"168.047.221,91","0,23","168.047.221,91","22.194.413,00","7,57",Regno unito,London Stock Exchange,GBP
TTE,TOTALENERGIES,Energia,Azionario,"167.317.370,28","0,23","167.317.370,28","2.591.614,00","64,56",Francia,Nyse Euronext - Euronext Paris,EUR
SIE,SIEMENS N AG,Industriali,Azionario,"164.462.139,42","0,23","164.462.139,42","866.955,00","189,70",Germania,Xetra,EUR
SPGI,S&P GLOBAL INC,Finanziari,Azionario,"163.570.252,86","0,23","163.570.252,86","373.218,00","438,27",Stati Uniti,New York Stock Exchange Inc.,USD
UBER,UBER TECHNOLOGIES INC,Industriali,Azionario,"162.908.351,40","0,23","162.908.351,40","2.083.227,00","78,20",Stati Uniti,New York Stock Exchange Inc.,USD
ICSUAGD,BLK ICS USD LIQ AGENCY DIS,Liquidità e/o derivati,Money Market,"162.224.765,68","0,23","162.224.765,68","162.224.766,00","1,00",Irlanda,-,USD
PM,PHILIP MORRIS INTERNATIONAL INC,Generi di largo consumo,Azionario,"159.653.812,92","0,22","159.653.812,92","1.743.707,00","91,56",Stati Uniti,New York Stock Exchange Inc.,USD
RY,ROYAL BANK OF CANADA,Finanziari,Azionario,"157.464.214,73","0,22","157.464.214,73","1.595.977,00","98,66",Canada,Toronto Stock Exchange,CAD
AXP,AMERICAN EXPRESS,Finanziari,Azionario,"154.117.160,64","0,21","154.117.160,64","718.294,00","214,56",Stati Uniti,New York Stock Exchange Inc.,USD
ISRG,INTUITIVE SURGICAL INC,Salute,Azionario,"153.724.898,23","0,21","153.724.898,23","394.399,00","389,77",Stati Uniti,NASDAQ,USD
LOW,LOWES COMPANIES INC,Consumi Discrezionali,Azionario,"151.852.145,04","0,21","151.852.145,04","652.959,00","232,56",Stati Uniti,New York Stock Exchange Inc.,USD
COP,CONOCOPHILLIPS,Energia,Azionario,"150.740.444,61","0,21","150.740.444,61","1.351.811,00","111,51",Stati Uniti,New York Stock Exchange Inc.,USD
HON,HONEYWELL INTERNATIONAL INC,Industriali,Azionario,"150.001.420,76","0,21","150.001.420,76","747.652,00","200,63",Stati Uniti,NASDAQ,USD
GS,GOLDMAN SACHS GROUP INC,Finanziari,Azionario,"148.796.871,30","0,21","148.796.871,30","380.506,00","391,05",Stati Uniti,New York Stock Exchange Inc.,USD
RTX,RTX CORP,Industriali,Azionario,"147.457.442,34","0,20","147.457.442,34","1.638.234,00","90,01",Stati Uniti,New York Stock Exchange Inc.,USD
NKE,NIKE INC CLASS B,Consumi Discrezionali,Azionario,"145.181.674,68","0,20","145.181.674,68","1.374.436,00","105,63",Stati Uniti,New York Stock Exchange Inc.,USD
ULVR,UNILEVER PLC,Generi di largo consumo,Azionario,"144.630.050,90","0,20","144.630.050,90","2.850.451,00","50,74",Regno unito,London Stock Exchange,GBP
CBA,COMMONWEALTH BANK OF AUSTRALIA,Finanziari,Azionario,"143.303.317,50","0,20","143.303.317,50","1.902.234,00","75,33",Australia,Asx - All Markets,AUD
USD,USD CASH,Liquidità e/o derivati,Contanti,"141.618.004,87","0,20","141.618.004,87","141.618.005,00","100,00",Stati Uniti,-,USD
BKNG,BOOKING HOLDINGS INC,Consumi Discrezionali,Azionario,"141.314.729,72","0,20","141.314.729,72","40.307,00","3.505,96",Stati Uniti,NASDAQ,USD
SU,SCHNEIDER ELECTRIC,Industriali,Azionario,"139.802.747,26","0,19","139.802.747,26","615.776,00","227,03",Francia,Nyse Euronext - Euronext Paris,EUR
LRCX,LAM RESEARCH CORP,IT,Azionario,"138.892.458,00","0,19","138.892.458,00","149.588,00","928,50",Stati Uniti,NASDAQ,USD
PLD,PROLOGIS REIT INC,Immobili,Azionario,"138.329.926,35","0,19","138.329.926,35","1.038.435,00","133,21",Stati Uniti,New York Stock Exchange Inc.,USD
T,AT&T INC,Comunicazione,Azionario,"137.429.762,40","0,19","137.429.762,40","8.180.343,00","16,80",Stati Uniti,New York Stock Exchange Inc.,USD
SYK,STRYKER CORP,Salute,Azionario,"137.307.852,50","0,19","137.307.852,50","386.750,00","355,03",Stati Uniti,New York Stock Exchange Inc.,USD
BLK,BLACKROCK INC,Finanziari,Azionario,"136.685.560,77","0,19","136.685.560,77","168.003,00","813,59",Stati Uniti,New York Stock Exchange Inc.,USD
ELV,ELEVANCE HEALTH INC,Salute,Azionario,"134.149.729,14","0,19","134.149.729,14","260.946,00","514,09",Stati Uniti,New York Stock Exchange Inc.,USD
OR,LOREAL SA,Generi di largo consumo,Azionario,"133.042.136,34","0,18","133.042.136,34","273.084,00","487,18",Francia,Nyse Euronext - Euronext Paris,EUR
NEE,NEXTERA ENERGY INC,Imprese di servizi di pubblica utilità,Azionario,"131.775.194,34","0,18","131.775.194,34","2.320.803,00","56,78",Stati Uniti,New York Stock Exchange Inc.,USD
